id,population
1850,482296
1851,1428983
1852,1270112
1853,535979
1854,7008831
1855,590115
1856,492841
1857,1601181
1859,1711311
1860,1146986
1861,1915548
1862,1425766
1863,953860
1864,1679626
1865,655317
1866,1724404
1867,712738
1868,1155670
1869,903348
1870,1350665
1871,879996
1872,2817479
1873,1051384
1874,691694
1876,879051
1877,1177150
1878,690739
1879,871388
1880,453723
1888,467410
1889,298288
1893,207932
1898,535907
1899,131465
1902,1209143
1904,552267
1906,234982
1907,218705
1909,253651
1910,270506
1923,111142
1927,95776
1931,284526
1937,149802
1940,195160
1942,100115
1944,393551
1945,107655
1948,566081
1949,164800
1950,119314
1952,858057
1954,1051
1955,121536
1957,127358
1958,201196
1959,201196
1960,389347
1966,100777
1968,136467
1969,279458
1970,170957
1971,367991
1973,104681
1974,101009
1976,208778
1977,168538
1989,150372
1992,154545
1998,121771
2000,112914
2002,113994
2003,115462
2010,106186
2014,135081
2015,307220
2016,184587
2017,128097
2018,143014
2024,114084
2027,105834
2028,121465
2029,121465
2038,258201
2039,136309
2040,219205
2042,100618
2045,250320
2046,205918
2047,331888
2048,2291158
2050,2166554
2051,329639
2053,326460
2054,881127
2056,160234
2060,571276
2071,298311
2074,103495
2077,258559
2089,162984
2090,113107
2091,303047
2092,297503
2093,293567
2094,318871
2096,425906
2104,255465
2127,151300
2139,125605
2142,421575
2149,372095
2150,306949
2152,287071
2158,381639
2161,175219
2162,104261
2163,295092
2165,105714
2166,677864
2167,341591
2168,173624
2169,194775
2170,198628
2171,141631
2172,298454
2174,196772
2178,216236
2182,234485
2184,270306
2186,212953
2187,147795
2193,106126
2200,295264
2202,234005
2203,233607
2204,317333
2207,643924
2214,255478
2216,264320
2221,136885
2224,105842
2230,118696
2234,557579
2235,223446
2236,881801
2237,2444160
2239,944285
2240,308544
2241,187652
2242,180127
2243,531857
2244,256705
2251,118227
2254,402843
2255,833562
2256,220962
2257,1455284
2259,174758
2261,727500
2262,1555984
2265,499337
2266,1798601
2272,388627
2284,144651
2302,110671
2308,690015
2376,117260
2386,292441
2480,280528
2609,493283
2670,110175
2751,127909
2876,4395243
2879,536719
2880,245360
2917,279667
2920,410577
2926,605346
2931,618436
2932,337295
2933,1056009
2935,750044
2936,1430515
2938,356771
2940,324888
2943,370017
2944,110426
2945,42029
2946,107205
2948,162154
2949,63626
2951,41917
2956,114551
2960,201125
2961,101970
2975,122300
2977,168641
2984,350504
2990,775255
2991,741651
2997,245592
3011,110012
3013,116684
3015,239287
3018,201371
3022,111503
3505,407756
3506,532089
3507,618278
